<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,19970424,000000,1.4916,1.4916,1.4916,1.4916,2125634,0
APT,D,19970425,000000,1.4303,1.4303,1.4303,1.4303,998752,0
APT,D,19970428,000000,1.3006,1.3006,1.3006,1.3006,480544,0
APT,D,19970429,000000,1.1958,1.1958,1.1958,1.1958,1983232,0
APT,D,19970430,000000,1.2635,1.2635,1.2635,1.2635,841357,0
APT,D,19970505,000000,1.2513,1.2513,1.2513,1.2513,1635948,0
APT,D,19970506,000000,1.3316,1.3316,1.3316,1.3316,1991311,0
APT,D,19970507,000000,1.3254,1.3254,1.3254,1.3254,989929,0
APT,D,19970508,000000,1.3685,1.3685,1.3685,1.3685,880141,0
APT,D,19970509,000000,1.4423,1.4423,1.4423,1.4423,856854,0
APT,D,19970512,000000,1.4794,1.4794,1.4794,1.4794,1185350,0
APT,D,19970513,000000,1.4856,1.4856,1.4856,1.4856,805519,0
APT,D,19970514,000000,1.3932,1.3932,1.3932,1.3932,421037,0
APT,D,19970515,000000,1.4423,1.4423,1.4423,1.4423,387629,0
APT,D,19970516,000000,1.4303,1.4303,1.4303,1.4303,316836,0
APT,D,19970519,000000,1.4549,1.4549,1.4549,1.4549,259190,0
APT,D,19970520,000000,1.4549,1.4549,1.4549,1.4549,156261,0
APT,D,19970521,000000,1.4116,1.4116,1.4116,1.4116,454957,0
APT,D,19970522,000000,1.3932,1.3932,1.3932,1.3932,503195,0
APT,D,19970523,000000,1.2513,1.2513,1.2513,1.2513,430335,0
APT,D,19970526,000000,1.2635,1.2635,1.2635,1.2635,370159,0
APT,D,19970527,000000,1.2329,1.2329,1.2329,1.2329,446860,0
APT,D,19970528,000000,1.2329,1.2329,1.2329,1.2329,357445,0
APT,D,19970530,000000,1.2944,1.2944,1.2944,1.2944,266723,0
APT,D,19970602,000000,1.2513,1.2513,1.2513,1.2513,142396,0
APT,D,19970603,000000,1.276,1.276,1.276,1.276,297972,0
APT,D,19970604,000000,1.2513,1.2513,1.2513,1.2513,415578,0
APT,D,19970605,000000,1.2389,1.2389,1.2389,1.2389,266222,0
APT,D,19970606,000000,1.2635,1.2635,1.2635,1.2635,116509,0
APT,D,19970609,000000,1.2884,1.2884,1.2884,1.2884,151980,0
APT,D,19970610,000000,1.2576,1.2576,1.2576,1.2576,338037,0
APT,D,19970611,000000,1.2389,1.2389,1.2389,1.2389,161063,0
APT,D,19970612,000000,1.3437,1.3437,1.3437,1.3437,483861,0
APT,D,19970613,000000,1.3746,1.3746,1.3746,1.3746,513633,0
APT,D,19970616,000000,1.3499,1.3499,1.3499,1.3499,176359,0
APT,D,19970617,000000,1.3316,1.3316,1.3316,1.3316,157956,0
APT,D,19970618,000000,1.3316,1.3316,1.3316,1.3316,598622,0
APT,D,19970619,000000,1.3499,1.3499,1.3499,1.3499,1020174,0
APT,D,19970620,000000,1.3932,1.3932,1.3932,1.3932,468768,0
APT,D,19970623,000000,1.3499,1.3499,1.3499,1.3499,295981,0
APT,D,19970624,000000,1.3499,1.3499,1.3499,1.3499,567188,0
APT,D,19970625,000000,1.4116,1.4116,1.4116,1.4116,563396,0
APT,D,19970626,000000,1.3932,1.3932,1.3932,1.3932,1184659,0
APT,D,19970627,000000,1.4116,1.4116,1.4116,1.4116,470289,0
APT,D,19970630,000000,1.4116,1.4116,1.4116,1.4116,331148,0
APT,D,19970701,000000,1.3869,1.3869,1.3869,1.3869,234420,0
APT,D,19970702,000000,1.3869,1.3869,1.3869,1.3869,180748,0
APT,D,19970703,000000,1.3994,1.3994,1.3994,1.3994,248490,0
APT,D,19970704,000000,1.4549,1.4549,1.4549,1.4549,361406,0
APT,D,19970707,000000,1.4549,1.4549,1.4549,1.4549,281892,0
APT,D,19970708,000000,1.461,1.461,1.461,1.461,91410,0
APT,D,19970709,000000,1.5164,1.5164,1.5164,1.5164,256193,0
APT,D,19970710,000000,1.5164,1.5164,1.5164,1.5164,1060759,0
APT,D,19970711,000000,1.5103,1.5103,1.5103,1.5103,888329,0
APT,D,19970714,000000,1.4549,1.4549,1.4549,1.4549,239541,0
APT,D,19970715,000000,1.3437,1.3437,1.3437,1.3437,291157,0
APT,D,19970716,000000,1.3869,1.3869,1.3869,1.3869,305413,0
APT,D,19970717,000000,1.3932,1.3932,1.3932,1.3932,212481,0
APT,D,19970718,000000,1.4303,1.4303,1.4303,1.4303,462735,0
APT,D,19970721,000000,1.4116,1.4116,1.4116,1.4116,234235,0
APT,D,19970722,000000,1.4116,1.4116,1.4116,1.4116,88452,0
APT,D,19970723,000000,1.4177,1.4177,1.4177,1.4177,183503,0
APT,D,19970724,000000,1.4177,1.4177,1.4177,1.4177,241029,0
APT,D,19970725,000000,1.4177,1.4177,1.4177,1.4177,282673,0
APT,D,19970728,000000,1.3869,1.3869,1.3869,1.3869,142231,0
APT,D,19970729,000000,1.3499,1.3499,1.3499,1.3499,563467,0
APT,D,19970730,000000,1.3932,1.3932,1.3932,1.3932,152913,0
APT,D,19970731,000000,1.4365,1.4365,1.4365,1.4365,353929,0
APT,D,19970801,000000,1.4303,1.4303,1.4303,1.4303,382100,0
APT,D,19970804,000000,1.4733,1.4733,1.4733,1.4733,114764,0
APT,D,19970805,000000,1.5103,1.5103,1.5103,1.5103,195713,0
APT,D,19970806,000000,1.541,1.541,1.541,1.541,392803,0
APT,D,19970807,000000,1.5348,1.5348,1.5348,1.5348,309693,0
APT,D,19970808,000000,1.578,1.578,1.578,1.578,342954,0
