<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH,D,20160322,000000,9.4426,9.4426,8.8903,9.2113,10259,0
ARH,D,20160323,000000,9.271,9.271,8.4088,9.0928,11073,0
ARH,D,20160324,000000,9.0624,9.1515,9.0624,9.1515,2925,0
ARH,D,20160329,000000,8.9734,8.9793,8.9138,8.9793,3114,0
ARH,D,20160330,000000,8.9793,9.2113,8.9793,9.2056,5856,0
ARH,D,20160331,000000,8.9205,9.1696,8.9205,9.1696,35,0
ARH,D,20160401,000000,9.1231,9.1231,9.1231,9.1231,177,0
ARH,D,20160404,000000,9.1231,9.1231,9.1231,9.1231,277,0
ARH,D,20160405,000000,9.1231,9.1231,9.0624,9.0624,1864,0
ARH,D,20160406,000000,9.1231,9.1231,8.9734,8.9734,1186,0
ARH,D,20160407,000000,9.0624,9.0624,8.9432,8.9432,200,0
ARH,D,20160408,000000,8.9432,9.2113,8.9432,8.9499,3948,0
ARH,D,20160411,000000,9.1999,9.1999,9.1999,9.1999,1,0
ARH,D,20160412,000000,8.9499,9.1335,8.9432,9.1335,564,0
ARH,D,20160413,000000,9.1165,9.1165,8.9499,9.1165,443,0
ARH,D,20160414,000000,9.034,9.0928,9.034,9.0928,1354,0
ARH,D,20160415,000000,8.9138,9.0691,8.8549,9.0691,2996,0
ARH,D,20160418,000000,8.9205,8.9205,8.9087,8.9087,1421,0
ARH,D,20160419,000000,8.8667,8.8667,8.844,8.844,1377,0
ARH,D,20160420,000000,8.8255,8.8255,8.4382,8.4508,2676,0
ARH,D,20160421,000000,8.6172,8.6769,8.6172,8.6172,1166,0
ARH,D,20160422,000000,8.6172,8.8549,8.6172,8.8549,186,0
ARH,D,20160425,000000,8.6769,8.6769,8.4458,8.4458,1699,0
ARH,D,20160426,000000,8.6466,9.034,8.6466,9.034,4905,0
ARH,D,20160427,000000,9.034,9.3307,9.034,9.0387,13361,0
ARH,D,20160428,000000,9.0444,9.0444,9.0444,9.0444,497,0
ARH,D,20160502,000000,9.0928,9.0928,9.0928,9.0928,160,0
ARH,D,20160504,000000,8.7062,8.8784,8.6945,8.6945,1962,0
ARH,D,20160506,000000,8.7944,9.2056,8.7944,8.8549,1683,0
ARH,D,20160509,000000,8.9138,8.9138,8.9138,8.9138,18,0
ARH,D,20160510,000000,8.9138,8.9558,8.9138,8.9558,1214,0
ARH,D,20160511,000000,8.9255,9.2653,8.9255,9.2113,4706,0
ARH,D,20160512,000000,9.2359,9.2359,9.0928,9.1696,4224,0
ARH,D,20160513,000000,9.1515,9.1515,9.1515,9.1515,336,0
ARH,D,20160516,000000,9.1876,9.2056,9.1639,9.2056,1481,0
ARH,D,20160517,000000,9.2113,9.2113,9.1828,9.1828,2632,0
ARH,D,20160518,000000,9.1515,9.1515,9.1515,9.1515,101,0
ARH,D,20160519,000000,9.0928,9.2113,9.0928,9.2113,18270,0
ARH,D,20160520,000000,9.2653,9.271,9.2653,9.271,4705,0
ARH,D,20160523,000000,9.1515,9.1515,9.0928,9.0928,1094,0
ARH,D,20160524,000000,9.2113,9.271,9.2113,9.217,1630,0
ARH,D,20160525,000000,9.271,9.271,9.271,9.271,810,0
ARH,D,20160530,000000,9.2113,9.2113,9.0985,9.2113,648,0
ARH,D,20160531,000000,9.1828,9.2113,9.0928,9.2113,2723,0
ARH,D,20160601,000000,9.0985,9.0985,8.9381,8.9381,1576,0
ARH,D,20160602,000000,8.9205,9.271,8.9138,9.271,6076,0
ARH,D,20160603,000000,9.271,9.271,9.271,9.271,133,0
ARH,D,20160606,000000,9.271,9.271,9.034,9.034,576,0
ARH,D,20160607,000000,9.0217,9.2587,9.0217,9.2587,1750,0
ARH,D,20160608,000000,9.0036,9.0928,9.0036,9.0928,1599,0
ARH,D,20160609,000000,9.0928,9.0928,9.0928,9.0928,254,0
ARH,D,20160610,000000,9.034,9.034,9.034,9.034,1683,0
ARH,D,20160614,000000,9.0387,9.0387,8.9205,8.9205,708,0
ARH,D,20160615,000000,8.9205,8.9205,8.9138,8.9138,663,0
ARH,D,20160616,000000,8.8549,8.8549,8.7356,8.7356,340,0
ARH,D,20160620,000000,8.7356,8.7415,8.7356,8.7356,844,0
ARH,D,20160621,000000,8.5046,8.5046,8.5046,8.5046,68,0
ARH,D,20160622,000000,8.7247,8.844,8.7247,8.844,372,0
ARH,D,20160624,000000,8.5046,8.6113,8.0223,8.5819,7126,0
ARH,D,20160627,000000,8.886,8.886,8.823,8.886,2728,0
ARH,D,20160628,000000,8.886,8.886,8.886,8.886,666,0
ARH,D,20160629,000000,8.823,9.2027,8.823,9.1971,1119,0
ARH,D,20160630,000000,9.0141,9.0141,9.0141,9.0141,5,0
ARH,D,20160701,000000,8.9499,8.9558,8.9499,8.9558,584,0
ARH,D,20160704,000000,9.0141,9.0141,8.7591,8.7591,3479,0
ARH,D,20160705,000000,8.823,8.823,8.4726,8.4726,427,0
ARH,D,20160706,000000,8.4424,8.455,8.4424,8.4424,1920,0
ARH,D,20160707,000000,8.4424,8.5054,8.4424,8.5054,2538,0
ARH,D,20160712,000000,8.5625,8.5685,8.5625,8.5685,679,0
ARH,D,20160713,000000,8.5054,8.5054,8.5054,8.5054,89,0
