<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20071030,000000,3.5973,3.826,3.4309,3.5816,251630,0
ASB,D,20071031,000000,3.5763,3.5763,3.4568,3.4568,42409,0
ASB,D,20071102,000000,3.4828,3.5606,3.4568,3.5087,47477,0
ASB,D,20071105,000000,3.5763,3.5763,3.4568,3.4568,36997,0
ASB,D,20071106,000000,3.5087,3.5087,3.4828,3.5087,25458,0
ASB,D,20071107,000000,3.5087,3.514,3.3269,3.3269,84848,0
ASB,D,20071108,000000,3.353,3.4256,3.0202,3.4256,63434,0
ASB,D,20071109,000000,3.1969,3.4309,3.1969,3.4256,27573,0
ASB,D,20071112,000000,3.5816,3.5816,3.223,3.3789,21776,0
ASB,D,20071113,000000,3.4309,3.4465,3.3789,3.3789,100758,0
ASB,D,20071114,000000,3.5868,3.5868,3.3789,3.5036,659,0
ASB,D,20071115,000000,3.3789,3.4465,3.1293,3.4465,11079,0
ASB,D,20071116,000000,3.3736,3.3789,3.3736,3.3789,2517,0
ASB,D,20071119,000000,3.4309,3.4465,3.4309,3.4465,190,0
ASB,D,20071120,000000,3.4309,3.4309,3.2437,3.2437,910,0
ASB,D,20071121,000000,3.0826,3.0826,2.859,2.859,2772,0
ASB,D,20071122,000000,2.859,2.859,2.859,2.859,1347,0
ASB,D,20071123,000000,2.6043,3.2177,2.6043,3.2177,867,0
ASB,D,20071126,000000,3.4256,3.4465,3.119,3.119,11409,0
ASB,D,20071127,000000,3.119,3.2696,3.119,3.1969,1641,0
ASB,D,20071128,000000,3.015,3.3789,3.015,3.3789,23438,0
ASB,D,20071130,000000,3.0929,3.4828,3.0929,3.4828,167255,0
ASB,D,20071203,000000,3.4828,3.5868,3.3789,3.5868,62871,0
ASB,D,20071205,000000,3.4777,3.5348,3.3061,3.4828,15276,0
ASB,D,20071206,000000,3.4828,3.5816,3.4828,3.5816,17449,0
ASB,D,20071210,000000,3.3736,3.4777,3.3736,3.3841,1979,0
ASB,D,20071211,000000,3.3789,3.7686,3.3789,3.7686,145136,0
ASB,D,20071212,000000,3.7791,3.7791,3.649,3.7427,12653,0
ASB,D,20071213,000000,3.649,3.7376,3.649,3.7376,1634,0
ASB,D,20071214,000000,3.5973,3.7427,3.3789,3.7427,196231,0
ASB,D,20071217,000000,3.7376,3.7376,3.6751,3.6751,1261,0
ASB,D,20071218,000000,3.6388,3.6388,3.6388,3.6388,385,0
ASB,D,20071219,000000,3.7427,3.7427,3.7427,3.7427,3847,0
ASB,D,20071220,000000,3.7427,4.1066,3.7427,4.1066,42429,0
ASB,D,20071221,000000,4.1066,4.4185,4.1066,4.2625,17982,0
ASB,D,20071227,000000,4.2677,4.6264,4.2625,4.4185,11158,0
ASB,D,20071228,000000,4.6005,4.6784,4.4445,4.5743,38395,0
ASB,D,20080102,000000,4.7564,4.7564,4.5743,4.6784,12896,0
ASB,D,20080103,000000,4.6264,4.6784,4.4185,4.4185,11129,0
ASB,D,20080104,000000,4.4185,4.4185,4.4185,4.4185,3595,0
ASB,D,20080107,000000,4.325,4.325,3.9974,4.1585,9142,0
ASB,D,20080108,000000,4.0025,4.0077,4.0025,4.0077,3228,0
ASB,D,20080109,000000,3.7947,3.9507,3.6908,3.9507,12294,0
ASB,D,20080110,000000,3.7947,3.8415,3.6908,3.8415,4431,0
ASB,D,20080111,000000,3.7947,3.7947,3.6438,3.7686,6430,0
ASB,D,20080114,000000,3.7843,3.7843,3.4309,3.6388,11786,0
ASB,D,20080115,000000,3.6388,3.8986,3.6388,3.7427,5821,0
ASB,D,20080116,000000,3.5348,3.6388,3.223,3.5348,15928,0
ASB,D,20080117,000000,3.4309,3.7947,3.4309,3.4828,73108,0
ASB,D,20080118,000000,3.6388,3.6388,3.5348,3.5452,4422,0
ASB,D,20080121,000000,3.6388,3.6388,3.2021,3.4568,6111,0
ASB,D,20080122,000000,3.5606,3.5606,3.3789,3.3789,1156,0
ASB,D,20080123,000000,3.5452,3.5606,3.3789,3.3789,34914,0
ASB,D,20080124,000000,3.4309,3.7166,3.3789,3.7166,3416,0
ASB,D,20080125,000000,4.1066,4.1066,3.6648,3.7166,10946,0
ASB,D,20080128,000000,3.7427,3.7427,3.4309,3.4672,1730,0
ASB,D,20080129,000000,3.5192,3.8883,3.4828,3.4828,2931,0
ASB,D,20080130,000000,3.5348,3.7843,3.4048,3.7843,7556,0
ASB,D,20080131,000000,3.8466,3.8466,3.6388,3.6388,12413,0
ASB,D,20080201,000000,3.696,3.696,3.5401,3.696,3705,0
ASB,D,20080204,000000,3.7686,3.7686,3.6388,3.6388,68653,0
ASB,D,20080205,000000,3.6388,3.6388,3.5348,3.5348,25476,0
ASB,D,20080206,000000,3.4309,3.5348,3.3789,3.5348,67465,0
ASB,D,20080207,000000,3.4828,3.6388,3.4411,3.6388,100866,0
ASB,D,20080211,000000,3.6284,3.8206,3.6284,3.8206,1845,0
