<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH,D,19960305,000000,0.04016,0.04016,0.04016,0.04016,3929028,0
ECH,D,19960306,000000,0.04393,0.04393,0.04393,0.04393,9026278,0
ECH,D,19960307,000000,0.04482,0.04482,0.04482,0.04482,2905220,0
ECH,D,19960308,000000,0.04438,0.04438,0.04438,0.04438,2359871,0
ECH,D,19960311,000000,0.04193,0.04193,0.04193,0.04193,333881,0
ECH,D,19960312,000000,0.03773,0.03773,0.03773,0.03773,158827,0
ECH,D,19960313,000000,0.0395,0.0395,0.0395,0.0395,694260,0
ECH,D,19960314,000000,0.0406,0.0406,0.0406,0.0406,406715,0
ECH,D,19960315,000000,0.04082,0.04082,0.04082,0.04082,551839,0
ECH,D,19960318,000000,0.04149,0.04149,0.04149,0.04149,205157,0
ECH,D,19960319,000000,0.04438,0.04438,0.04438,0.04438,508031,0
ECH,D,19960320,000000,0.04193,0.04193,0.04193,0.04193,453044,0
ECH,D,19960321,000000,0.04193,0.04193,0.04193,0.04193,166939,0
ECH,D,19960322,000000,0.03773,0.03773,0.03773,0.03773,225350,0
ECH,D,19960325,000000,0.04149,0.04149,0.04149,0.04149,566441,0
ECH,D,19960326,000000,0.03838,0.03838,0.03838,0.03838,520109,0
ECH,D,19960327,000000,0.04082,0.04082,0.04082,0.04082,232922,0
ECH,D,19960328,000000,0.03862,0.03862,0.03862,0.03862,517043,0
ECH,D,19960329,000000,0.0395,0.0395,0.0395,0.0395,315308,0
ECH,D,19960401,000000,0.03862,0.03862,0.03862,0.03862,555626,0
ECH,D,19960402,000000,0.03862,0.03862,0.03862,0.03862,749607,0
ECH,D,19960403,000000,0.03816,0.03816,0.03816,0.03816,327029,0
ECH,D,19960404,000000,0.0395,0.0395,0.0395,0.0395,113754,0
ECH,D,19960405,000000,0.03862,0.03862,0.03862,0.03862,504246,0
ECH,D,19960409,000000,0.0395,0.0395,0.0395,0.0395,328289,0
ECH,D,19960410,000000,0.03862,0.03862,0.03862,0.03862,310263,0
ECH,D,19960411,000000,0.03862,0.03862,0.03862,0.03862,154862,0
ECH,D,19960412,000000,0.03927,0.03927,0.03927,0.03927,749064,0
ECH,D,19960415,000000,0.03838,0.03838,0.03838,0.03838,363805,0
ECH,D,19960416,000000,0.0395,0.0395,0.0395,0.0395,176856,0
ECH,D,19960417,000000,0.03927,0.03927,0.03927,0.03927,482250,0
ECH,D,19960418,000000,0.0395,0.0395,0.0395,0.0395,202093,0
ECH,D,19960419,000000,0.0395,0.0395,0.0395,0.0395,1956043,0
ECH,D,19960422,000000,0.04193,0.04193,0.04193,0.04193,870215,0
ECH,D,19960423,000000,0.04305,0.04305,0.04305,0.04305,2238000,0
ECH,D,19960424,000000,0.04193,0.04193,0.04193,0.04193,667577,0
ECH,D,19960425,000000,0.04193,0.04193,0.04193,0.04193,274204,0
ECH,D,19960426,000000,0.04105,0.04105,0.04105,0.04105,438982,0
ECH,D,19960429,000000,0.0395,0.0395,0.0395,0.0395,858133,0
ECH,D,19960430,000000,0.04193,0.04193,0.04193,0.04193,1192013,0
ECH,D,19960506,000000,0.04348,0.04348,0.04348,0.04348,1372655,0
ECH,D,19960507,000000,0.04305,0.04305,0.04305,0.04305,869672,0
ECH,D,19960508,000000,0.04016,0.04016,0.04016,0.04016,461696,0
ECH,D,19960509,000000,0.04283,0.04283,0.04283,0.04283,513075,0
ECH,D,19960510,000000,0.04105,0.04105,0.04105,0.04105,1072667,0
ECH,D,19960513,000000,0.04283,0.04283,0.04283,0.04283,874361,0
ECH,D,19960514,000000,0.04216,0.04216,0.04216,0.04216,616200,0
ECH,D,19960515,000000,0.04216,0.04216,0.04216,0.04216,236888,0
ECH,D,19960516,000000,0.04305,0.04305,0.04305,0.04305,1321998,0
ECH,D,19960517,000000,0.04393,0.04393,0.04393,0.04393,924297,0
ECH,D,19960520,000000,0.04814,0.04814,0.04814,0.04814,2510047,0
ECH,D,19960521,000000,0.05215,0.05215,0.05215,0.05215,4031971,0
ECH,D,19960522,000000,0.05126,0.05126,0.05126,0.05126,3705482,0
ECH,D,19960523,000000,0.05215,0.05215,0.05215,0.05215,3419196,0
ECH,D,19960524,000000,0.05592,0.05592,0.05592,0.05592,2672655,0
ECH,D,19960527,000000,0.05126,0.05126,0.05126,0.05126,4037018,0
ECH,D,19960528,000000,0.05126,0.05126,0.05126,0.05126,1219056,0
ECH,D,19960529,000000,0.05325,0.05325,0.05325,0.05325,1194898,0
ECH,D,19960530,000000,0.05458,0.05458,0.05458,0.05458,2181752,0
ECH,D,19960531,000000,0.05636,0.05636,0.05636,0.05636,5336661,0
ECH,D,19960603,000000,0.0537,0.0537,0.0537,0.0537,3395221,0
ECH,D,19960604,000000,0.04814,0.04814,0.04814,0.04814,3969232,0
ECH,D,19960605,000000,0.04903,0.04903,0.04903,0.04903,2380423,0
ECH,D,19960607,000000,0.05038,0.05038,0.05038,0.05038,1658760,0
ECH,D,19960610,000000,0.05169,0.05169,0.05169,0.05169,2628490,0
ECH,D,19960611,000000,0.05126,0.05126,0.05126,0.05126,2311014,0
ECH,D,19960612,000000,0.05547,0.05547,0.05547,0.05547,4272643,0
ECH,D,19960613,000000,0.06079,0.06079,0.06079,0.06079,12272226,0
ECH,D,19960614,000000,0.06545,0.06545,0.06545,0.06545,8482194,0
ECH,D,19960617,000000,0.06568,0.06568,0.06568,0.06568,5507928,0
ECH,D,19960618,000000,0.06701,0.06701,0.06701,0.06701,1050313,0
ECH,D,19960619,000000,0.07234,0.07234,0.07234,0.07234,2629751,0
ECH,D,19960620,000000,0.07211,0.07211,0.07211,0.07211,2813813,0
ECH,D,19960621,000000,0.07011,0.07011,0.07011,0.07011,3364391,0
ECH,D,19960624,000000,0.07167,0.07167,0.07167,0.07167,3144629,0
ECH,D,19960625,000000,0.07056,0.07056,0.07056,0.07056,3908298,0
ECH,D,19960626,000000,0.07767,0.07767,0.07767,0.07767,3711073,0
ECH,D,19960627,000000,0.08454,0.08454,0.08454,0.08454,3303817,0
ECH,D,19960628,000000,0.08387,0.08387,0.08387,0.08387,6543277,0
ECH,D,19960701,000000,0.0923,0.0923,0.0923,0.0923,2941635,0
ECH,D,19960702,000000,0.0903,0.0903,0.0903,0.0903,6031460,0
ECH,D,19960703,000000,0.08697,0.08697,0.08697,0.08697,4883256,0
ECH,D,19960704,000000,0.08786,0.08786,0.08786,0.08786,3459941,0
ECH,D,19960705,000000,0.08631,0.08631,0.08631,0.08631,4841611,0
ECH,D,19960708,000000,0.07787,0.07787,0.07787,0.07787,899239,0
