<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20080320,000000,3.0742,3.2142,3.001,3.001,205588,0
IFI,D,20080325,000000,2.8743,3.0344,2.6474,2.6676,47078,0
IFI,D,20080326,000000,2.654,2.7342,2.4674,2.5074,102842,0
IFI,D,20080327,000000,2.6474,2.6474,2.514,2.5672,11453,0
IFI,D,20080328,000000,2.5943,2.5943,2.4674,2.5609,11721,0
IFI,D,20080331,000000,2.4674,2.5875,2.3675,2.5808,24857,0
IFI,D,20080401,000000,2.5875,2.6277,2.4674,2.5207,6961,0
IFI,D,20080402,000000,2.534,2.5409,2.4143,2.4809,10387,0
IFI,D,20080403,000000,2.4409,2.4409,2.2675,2.274,25246,0
IFI,D,20080404,000000,2.2875,2.2875,2.1006,2.194,42059,0
IFI,D,20080407,000000,2.1673,2.1808,2.1006,2.1673,22067,0
IFI,D,20080408,000000,2.0941,2.5274,2.0673,2.5274,89123,0
IFI,D,20080409,000000,2.5207,2.7875,2.4609,2.7875,97444,0
IFI,D,20080410,000000,2.8009,2.8341,2.7076,2.7475,11658,0
IFI,D,20080411,000000,2.8009,3.1943,2.8009,3.1543,122132,0
IFI,D,20080414,000000,2.8676,3.0477,2.8676,2.9944,5863,0
IFI,D,20080415,000000,3.001,3.0142,2.8079,2.8144,1156,0
IFI,D,20080416,000000,2.9944,3.1009,2.8144,3.0344,64028,0
IFI,D,20080417,000000,3.001,3.001,2.8144,2.8209,4923,0
IFI,D,20080418,000000,2.8009,2.8209,2.6407,2.8209,15327,0
IFI,D,20080421,000000,2.8545,2.9207,2.8545,2.9207,3662,0
IFI,D,20080422,000000,2.8545,2.9675,2.8545,2.9675,1890,0
IFI,D,20080423,000000,2.9877,2.9877,2.9877,2.9877,18,0
IFI,D,20080424,000000,2.8009,2.9675,2.8009,2.9675,756,0
IFI,D,20080425,000000,2.8079,2.8809,2.8079,2.8809,727,0
IFI,D,20080428,000000,2.901,2.901,2.6877,2.8409,3056,0
IFI,D,20080429,000000,2.8409,2.8409,2.6676,2.6676,20672,0
IFI,D,20080430,000000,2.7941,2.9276,2.7941,2.9276,26194,0
IFI,D,20080505,000000,2.9276,2.9675,2.8009,2.9276,17381,0
IFI,D,20080506,000000,3.2544,3.2544,2.901,3.068,1721,0
IFI,D,20080507,000000,3.1211,3.1211,3.1211,3.1211,1,0
IFI,D,20080508,000000,2.8341,2.8611,2.7342,2.7475,10535,0
IFI,D,20080509,000000,2.7475,2.8409,2.7342,2.8409,2610,0
IFI,D,20080512,000000,2.8409,2.9611,2.8409,2.9611,105,0
IFI,D,20080513,000000,2.6676,2.8809,2.6606,2.8809,1909,0
IFI,D,20080515,000000,2.6009,2.8009,2.6009,2.8009,12306,0
IFI,D,20080516,000000,2.5409,2.6343,2.4674,2.4674,19254,0
IFI,D,20080519,000000,2.534,2.6009,2.4674,2.6009,30128,0
IFI,D,20080520,000000,2.5943,2.5943,2.5943,2.5943,16,0
IFI,D,20080521,000000,2.3541,2.5875,2.3541,2.5875,1445,0
IFI,D,20080523,000000,2.5943,2.6676,2.5943,2.6407,1862,0
IFI,D,20080526,000000,2.6474,2.6474,2.5808,2.5808,115,0
IFI,D,20080527,000000,2.4674,2.6343,2.4674,2.6343,439,0
IFI,D,20080529,000000,2.4341,2.6343,2.3743,2.4009,4086,0
IFI,D,20080530,000000,2.4674,2.4674,2.2341,2.4609,8670,0
IFI,D,20080602,000000,2.3273,2.3273,2.3273,2.3273,1498,0
IFI,D,20080603,000000,2.3008,2.3008,2.2074,2.2941,2993,0
IFI,D,20080604,000000,2.1673,2.2875,2.1673,2.1673,2190,0
IFI,D,20080605,000000,2.2341,2.3807,2.2341,2.3807,2142,0
IFI,D,20080606,000000,2.3342,2.5274,2.3342,2.5274,322,0
IFI,D,20080609,000000,2.5808,2.5808,2.5808,2.5808,1,0
IFI,D,20080610,000000,2.0673,2.0673,2.0673,2.0673,92,0
IFI,D,20080611,000000,2.4674,2.4674,2.4674,2.4674,92,0
IFI,D,20080612,000000,2.4609,2.534,2.0807,2.4009,1383,0
IFI,D,20080613,000000,2.3942,2.3942,2.3942,2.3942,2070,0
IFI,D,20080616,000000,2.4009,2.4009,2.4009,2.4009,2,0
IFI,D,20080617,000000,2.4609,2.4609,2.4609,2.4609,5,0
IFI,D,20080618,000000,2.534,2.534,2.534,2.534,1,0
IFI,D,20080619,000000,2.5672,2.6343,2.5672,2.6343,2,0
IFI,D,20080620,000000,2.6208,2.6208,2.6208,2.6208,225,0
IFI,D,20080624,000000,2.501,2.501,2.4609,2.4609,198,0
IFI,D,20080626,000000,2.501,2.501,2.501,2.501,14,0
IFI,D,20080627,000000,2.174,2.3807,2.0673,2.3342,25854,0
IFI,D,20080630,000000,2.3342,2.3342,2.3342,2.3342,551,0
IFI,D,20080701,000000,2.0673,2.1673,2.0339,2.134,5089,0
IFI,D,20080702,000000,2.0007,2.134,1.954,2.1272,1126,0
IFI,D,20080703,000000,2.0007,2.1006,1.974,2.087,17330,0
IFI,D,20080707,000000,2.0941,2.0941,1.9673,2.0673,1949,0
IFI,D,20080708,000000,2.0007,2.0007,2.0007,2.0007,225,0
IFI,D,20080711,000000,2.0007,2.087,1.9673,2.0673,3106,0
IFI,D,20080714,000000,2.1006,2.1006,2.1006,2.1006,76,0
IFI,D,20080715,000000,1.9071,1.9874,1.8072,1.9874,3481,0
IFI,D,20080716,000000,1.8072,1.934,1.8072,1.934,1690,0
IFI,D,20080717,000000,1.9406,2.0807,1.9406,2.0807,195,0
IFI,D,20080718,000000,2.0807,2.0807,2.0807,2.0807,225,0
IFI,D,20080723,000000,2.0007,2.0007,2.0007,2.0007,1187,0
IFI,D,20080729,000000,1.9141,1.9141,1.9071,1.9071,426,0
IFI,D,20080730,000000,1.9007,2.0339,1.9007,2.0339,347,0
IFI,D,20080805,000000,1.994,1.994,1.8673,1.8673,2373,0
IFI,D,20080806,000000,1.9673,1.9673,1.9007,1.9007,1192,0
IFI,D,20080807,000000,2.0208,2.0208,2.0208,2.0208,302,0
IFI,D,20080808,000000,1.934,1.934,1.8006,1.934,1064,0
IFI,D,20080811,000000,1.994,1.994,1.994,1.994,584,0
IFI,D,20080813,000000,1.9673,2.0606,1.9673,2.0606,4495,0
IFI,D,20080814,000000,2.1673,2.1673,1.7739,2.0007,1680,0
IFI,D,20080818,000000,2.0408,2.0408,2.0408,2.0408,1,0
IFI,D,20080819,000000,1.8006,2.0007,1.8006,2.0007,700,0
IFI,D,20080821,000000,1.8204,1.9209,1.8204,1.9209,2070,0
IFI,D,20080822,000000,1.9141,1.9141,1.8006,1.8339,3659,0
IFI,D,20080825,000000,1.994,1.994,1.994,1.994,1,0
IFI,D,20080826,000000,2.0007,2.0208,2.0007,2.0208,274,0
IFI,D,20080828,000000,1.934,2.0074,1.7538,2.0074,1877,0
IFI,D,20080901,000000,1.9673,1.9673,1.7876,1.8006,7565,0
IFI,D,20080902,000000,1.8006,1.8339,1.7672,1.8339,2716,0
IFI,D,20080904,000000,1.8271,1.8271,1.8271,1.8271,535,0
IFI,D,20080908,000000,1.8204,1.8204,1.8204,1.8204,544,0
IFI,D,20080909,000000,1.8204,1.8271,1.8204,1.8271,365,0
IFI,D,20080910,000000,1.8204,1.8271,1.8204,1.8271,214,0
IFI,D,20080916,000000,1.8006,1.8006,1.3671,1.7272,5414,0
IFI,D,20080917,000000,1.667,1.667,1.667,1.667,1109,0
IFI,D,20080918,000000,1.5336,1.6137,1.5336,1.6137,934,0
IFI,D,20080919,000000,1.6007,1.6007,1.6007,1.6007,299,0
IFI,D,20080922,000000,1.6007,1.6007,1.6007,1.6007,151,0
IFI,D,20080924,000000,1.5806,1.5806,1.5672,1.5672,1501,0
IFI,D,20080925,000000,1.5737,1.7204,1.5737,1.7204,169,0
IFI,D,20080926,000000,1.7272,1.8339,1.667,1.7876,7875,0
IFI,D,20080929,000000,1.7074,1.7876,1.7074,1.7338,9803,0
IFI,D,20080930,000000,1.6739,1.6739,1.6472,1.667,7951,0
IFI,D,20081001,000000,1.7272,1.7607,1.7272,1.7607,676,0
IFI,D,20081002,000000,1.7005,1.7005,1.7005,1.7005,162,0
IFI,D,20081003,000000,1.7607,1.7607,1.6472,1.7272,2704,0
IFI,D,20081006,000000,1.6272,1.6339,1.5007,1.5336,7000,0
IFI,D,20081007,000000,1.5406,1.5406,1.327,1.4673,34735,0
IFI,D,20081008,000000,1.387,1.4673,1.334,1.334,27436,0
IFI,D,20081009,000000,1.3535,1.3535,1.3535,1.3535,448,0
IFI,D,20081010,000000,1.334,1.334,1.2004,1.2004,18785,0
IFI,D,20081013,000000,1.334,1.4339,1.334,1.3671,6329,0
IFI,D,20081014,000000,1.3072,1.4004,1.267,1.387,21313,0
IFI,D,20081015,000000,1.3535,1.4673,1.3535,1.4673,13711,0
IFI,D,20081016,000000,1.3535,1.3603,1.3003,1.3603,7416,0
IFI,D,20081017,000000,1.3137,1.3137,1.2938,1.2938,11863,0
IFI,D,20081020,000000,1.267,1.267,1.267,1.267,1498,0
IFI,D,20081021,000000,1.2336,1.2605,1.2336,1.2605,4341,0
IFI,D,20081022,000000,1.2004,1.2004,1.1338,1.1338,2101,0
IFI,D,20081023,000000,1.0737,1.1338,1.0672,1.1273,24089,0
IFI,D,20081024,000000,1.0537,1.0537,1.0403,1.0403,6120,0
IFI,D,20081027,000000,0.9935,1.2538,0.9935,1.2538,16316,0
IFI,D,20081028,000000,1.2938,1.3205,1.2336,1.2804,7207,0
IFI,D,20081029,000000,1.3003,1.3603,1.2938,1.2938,2173,0
IFI,D,20081030,000000,1.3003,1.3137,1.3003,1.3003,6525,0
IFI,D,20081031,000000,1.2336,1.2871,1.2336,1.2871,3880,0
IFI,D,20081103,000000,1.2804,1.2804,1.267,1.267,7061,0
IFI,D,20081104,000000,1.334,1.3738,1.334,1.3738,634,0
IFI,D,20081105,000000,1.3937,1.5074,1.267,1.5007,37367,0
IFI,D,20081106,000000,1.4739,1.6207,1.4739,1.6207,37996,0
IFI,D,20081107,000000,1.5274,1.5672,1.5274,1.5672,2162,0
IFI,D,20081110,000000,1.5274,1.5274,1.4205,1.4739,10603,0
IFI,D,20081112,000000,1.387,1.387,1.387,1.387,524,0
IFI,D,20081113,000000,1.3535,1.3535,1.3205,1.3205,2,0
IFI,D,20081114,000000,1.4403,1.4403,1.3804,1.4403,4827,0
IFI,D,20081117,000000,1.334,1.334,1.334,1.334,76,0
IFI,D,20081118,000000,1.267,1.3072,1.2605,1.3072,9702,0
IFI,D,20081119,000000,1.2405,1.2405,1.2405,1.2405,373,0
IFI,D,20081120,000000,1.1736,1.2204,1.1736,1.2204,11008,0
IFI,D,20081121,000000,1.2804,1.2804,1.2804,1.2804,151,0
IFI,D,20081124,000000,1.2804,1.2938,1.2804,1.2938,1996,0
IFI,D,20081125,000000,1.2938,1.6272,1.2938,1.6272,64029,0
IFI,D,20081126,000000,1.5538,1.6472,1.4673,1.6472,11381,0
IFI,D,20081127,000000,1.6606,1.814,1.6606,1.7139,13939,0
IFI,D,20081128,000000,1.7338,1.7338,1.6272,1.6272,6382,0
IFI,D,20081201,000000,1.4806,1.5336,1.4806,1.5336,5412,0
IFI,D,20081202,000000,1.5007,1.5737,1.4339,1.5737,7206,0
IFI,D,20081203,000000,1.5672,1.5737,1.5672,1.5737,31642,0
IFI,D,20081204,000000,1.6072,1.6072,1.6072,1.6072,19,0
IFI,D,20081205,000000,1.5938,1.5938,1.514,1.514,269,0
IFI,D,20081208,000000,1.5806,1.5806,1.5806,1.5806,559,0
IFI,D,20081210,000000,1.5938,1.5938,1.5336,1.5336,5669,0
IFI,D,20081212,000000,1.4673,1.4673,1.427,1.427,2984,0
IFI,D,20081215,000000,1.4739,1.4739,1.4673,1.4673,6350,0
IFI,D,20081216,000000,1.5007,1.5336,1.4673,1.5336,758,0
IFI,D,20081217,000000,1.5406,1.5406,1.4739,1.5406,9856,0
IFI,D,20081218,000000,1.4739,1.5207,1.4673,1.5207,2043,0
IFI,D,20081223,000000,1.4339,1.4339,1.4339,1.4339,1077,0
IFI,D,20081229,000000,1.4339,1.4339,1.4339,1.4339,945,0
IFI,D,20081230,000000,1.4606,1.5007,1.4606,1.5007,3030,0
IFI,D,20081231,000000,1.5074,1.5074,1.5074,1.5074,4978,0
IFI,D,20090105,000000,1.5471,1.6007,1.5274,1.5274,803,0
IFI,D,20090106,000000,1.5938,1.7005,1.5938,1.5938,16316,0
IFI,D,20090107,000000,1.6805,1.994,1.6805,1.7672,23638,0
IFI,D,20090108,000000,1.7672,1.7672,1.7672,1.7672,26,0
IFI,D,20090109,000000,1.7005,1.7005,1.6207,1.6606,6651,0
IFI,D,20090113,000000,1.5007,1.5806,1.5007,1.5806,4434,0
IFI,D,20090114,000000,1.6272,1.6272,1.5406,1.5938,1383,0
IFI,D,20090115,000000,1.6072,1.6339,1.6072,1.6339,952,0
IFI,D,20090116,000000,1.5538,1.5538,1.5538,1.5538,2999,0
IFI,D,20090119,000000,1.5938,1.5938,1.5938,1.5938,2882,0
IFI,D,20090120,000000,1.6007,1.6007,1.5207,1.5274,5710,0
IFI,D,20090121,000000,1.4339,1.5274,1.4339,1.5274,10498,0
IFI,D,20090122,000000,1.4339,1.4339,1.4339,1.4339,5234,0
IFI,D,20090123,000000,1.3535,1.5274,1.3471,1.4806,5682,0
IFI,D,20090126,000000,1.4872,1.4872,1.427,1.427,6239,0
IFI,D,20090128,000000,1.4339,1.4806,1.427,1.427,9807,0
IFI,D,20090129,000000,1.4205,1.4205,1.4205,1.4205,449,0
IFI,D,20090130,000000,1.4205,1.427,1.4004,1.427,1444,0
IFI,D,20090202,000000,1.334,1.334,1.3205,1.327,3730,0
IFI,D,20090203,000000,1.3205,1.4004,1.3205,1.3205,7498,0
IFI,D,20090204,000000,1.2938,1.2938,1.2938,1.2938,2251,0
IFI,D,20090205,000000,1.267,1.2938,1.267,1.2938,753,0
IFI,D,20090206,000000,1.267,1.3003,1.267,1.2804,2251,0
IFI,D,20090209,000000,1.2871,1.2871,1.2871,1.2871,477,0
IFI,D,20090210,000000,1.3003,1.3671,1.3003,1.3671,6187,0
IFI,D,20090211,000000,1.3937,1.3937,1.327,1.327,10149,0
IFI,D,20090212,000000,1.247,1.334,1.247,1.327,15161,0
IFI,D,20090216,000000,1.2538,1.2605,1.247,1.2538,7300,0
IFI,D,20090217,000000,1.1338,1.1937,1.1338,1.1538,2563,0
IFI,D,20090218,000000,1.1138,1.2204,1.1138,1.2204,6582,0
IFI,D,20090219,000000,1.1937,1.2204,1.1338,1.2204,8696,0
IFI,D,20090220,000000,1.1138,1.1138,1.1138,1.1138,2999,0
IFI,D,20090223,000000,1.1538,1.1538,1.1538,1.1538,269,0
IFI,D,20090224,000000,1.1138,1.1472,1.0803,1.1472,2113,0
IFI,D,20090225,000000,1.1736,1.1736,1.1736,1.1736,151,0
IFI,D,20090227,000000,1.1736,1.1736,1.1736,1.1736,37,0
IFI,D,20090302,000000,1.1006,1.1069,1.1006,1.1069,4908,0
IFI,D,20090304,000000,1.1338,1.1338,1.1338,1.1338,1,0
IFI,D,20090306,000000,1.0471,1.0672,1.007,1.0537,12566,0
IFI,D,20090309,000000,1.0537,1.0537,1.0537,1.0537,210,0
IFI,D,20090310,000000,1.0672,1.1736,1.0537,1.1736,14940,0
IFI,D,20090311,000000,1.2271,1.2271,1.0537,1.0537,24876,0
IFI,D,20090312,000000,1.1138,1.1138,1.1138,1.1138,1,0
IFI,D,20090313,000000,1.1204,1.1204,1.1204,1.1204,7008,0
IFI,D,20090316,000000,1.167,1.167,1.167,1.167,151,0
IFI,D,20090318,000000,1.1804,1.2204,1.1804,1.2204,2,0
IFI,D,20090320,000000,1.1138,1.2204,1.1138,1.2204,1284,0
IFI,D,20090324,000000,1.1937,1.2204,1.1273,1.1736,15992,0
IFI,D,20090325,000000,1.1869,1.2004,1.1869,1.2004,14596,0
