<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMC,D,20110504,000000,7.2663,7.5239,7.0986,7.1119,381175,0
IMC,D,20110505,000000,7.1252,7.1252,6.7581,6.9636,69307,0
IMC,D,20110506,000000,7.0476,7.0476,6.8934,6.9577,119561,0
IMC,D,20110509,000000,6.9767,7.0154,6.9445,6.9767,32758,0
IMC,D,20110510,000000,6.9834,7.0279,6.7707,6.9445,15918,0
IMC,D,20110511,000000,6.8028,6.9636,6.8028,6.8868,35046,0
IMC,D,20110512,000000,6.8094,6.9511,6.7962,6.9058,10462,0
IMC,D,20110513,000000,6.8993,6.9511,6.8284,6.9511,63649,0
IMC,D,20110516,000000,6.835,6.9511,6.835,6.9511,34976,0
IMC,D,20110517,000000,6.9445,6.9511,6.8094,6.8284,51563,0
IMC,D,20110518,000000,6.8284,6.9445,6.7772,6.9445,36546,0
IMC,D,20110519,000000,6.9445,6.9511,6.9189,6.9256,7119,0
IMC,D,20110520,000000,6.8284,6.9189,6.8284,6.8868,909,0
IMC,D,20110523,000000,6.835,6.9511,6.8159,6.9511,26265,0
IMC,D,20110524,000000,6.8547,6.9636,6.7581,6.9636,286612,0
IMC,D,20110525,000000,6.8868,6.9511,6.8868,6.9511,6019,0
IMC,D,20110526,000000,6.9511,6.9767,6.9189,6.9767,6154,0
IMC,D,20110527,000000,6.9701,7.3696,6.9701,7.3696,445486,0
IMC,D,20110530,000000,7.3435,7.4015,7.279,7.3368,20619,0
IMC,D,20110531,000000,7.2856,7.4015,7.279,7.3948,24974,0
IMC,D,20110601,000000,7.3821,7.3948,7.3243,7.3302,16888,0
IMC,D,20110602,000000,7.3243,7.3368,7.273,7.273,21752,0
IMC,D,20110603,000000,7.2084,7.3049,7.2084,7.3049,19588,0
IMC,D,20110606,000000,7.3368,7.3368,7.2018,7.2403,7491,0
IMC,D,20110607,000000,7.2924,7.3368,7.2471,7.273,4501,0
IMC,D,20110608,000000,7.2403,7.273,7.2336,7.2336,11584,0
IMC,D,20110609,000000,7.2597,7.2597,7.08,7.1571,9671,0
IMC,D,20110610,000000,7.0866,7.1698,7.0866,7.1632,361744,0
IMC,D,20110613,000000,7.1571,7.2018,7.08,7.1438,4781,0
IMC,D,20110614,000000,7.1252,7.1632,7.1186,7.1571,7768,0
IMC,D,20110615,000000,7.0986,7.1372,7.0986,7.0986,14103,0
IMC,D,20110616,000000,7.08,7.08,6.8868,6.8934,29081,0
IMC,D,20110617,000000,6.9834,7.0154,6.7581,7.0154,11174,0
IMC,D,20110620,000000,7.0154,7.1186,6.8868,7.0866,56560,0
IMC,D,20110621,000000,7.0986,7.2018,7.0986,7.1119,59456,0
IMC,D,20110622,000000,7.1372,7.1372,6.9834,7.08,18274,0
IMC,D,20110624,000000,6.9189,7.0476,6.9189,6.9189,1282,0
IMC,D,20110627,000000,6.9189,6.9256,6.8225,6.8481,11074,0
IMC,D,20110628,000000,6.7772,6.9189,6.7772,6.9189,1975,0
IMC,D,20110629,000000,6.9189,7.0154,6.8868,6.9834,526,0
IMC,D,20110630,000000,6.9834,7.0476,6.9511,7.0476,4312,0
IMC,D,20110701,000000,7.0476,7.0476,6.8094,7.0023,9431,0
IMC,D,20110704,000000,6.7962,6.8671,6.7451,6.7903,6712,0
IMC,D,20110705,000000,6.9058,6.9058,6.5646,6.5967,8475,0
IMC,D,20110706,000000,6.6289,6.6742,6.4424,6.468,34576,0
IMC,D,20110707,000000,6.6229,6.7195,6.4424,6.5967,2289,0
IMC,D,20110708,000000,6.5646,6.6289,6.4746,6.6289,1184,0
IMC,D,20110711,000000,6.661,6.661,6.661,6.661,343,0
IMC,D,20110712,000000,6.4746,6.4746,6.436,6.468,2157,0
IMC,D,20110713,000000,6.468,6.6229,6.468,6.6229,484,0
IMC,D,20110714,000000,6.4616,6.5646,6.4616,6.5646,151,0
IMC,D,20110715,000000,6.4812,6.5646,6.4424,6.4616,2798,0
IMC,D,20110718,000000,6.436,6.436,6.3971,6.3971,3773,0
IMC,D,20110719,000000,6.3715,6.436,6.243,6.3072,218402,0
IMC,D,20110720,000000,6.3072,6.3072,6.3072,6.3072,663,0
IMC,D,20110721,000000,6.1465,6.1851,6.1465,6.1786,1157,0
IMC,D,20110722,000000,6.3715,6.5587,6.3072,6.5324,10025,0
IMC,D,20110725,000000,6.6033,6.6033,6.5324,6.5587,21,0
IMC,D,20110726,000000,6.5002,6.5843,6.436,6.5455,2411,0
IMC,D,20110727,000000,6.5587,6.8225,6.5587,6.8225,21497,0
IMC,D,20110728,000000,6.5002,6.9511,6.5002,6.9511,4800,0
IMC,D,20110729,000000,6.8868,6.9511,6.8225,6.835,175110,0
IMC,D,20110801,000000,6.8284,6.8284,6.726,6.7581,25899,0
IMC,D,20110802,000000,6.6677,6.7581,6.6677,6.6874,2648,0
IMC,D,20110803,000000,6.6874,6.6874,6.5324,6.5324,17152,0
IMC,D,20110804,000000,6.4424,6.4424,5.8054,5.9213,33656,0
IMC,D,20110805,000000,5.4706,5.8568,5.4706,5.8568,13902,0
IMC,D,20110808,000000,5.342,5.6637,4.8271,5.342,377131,0
IMC,D,20110809,000000,5.0331,5.2775,4.6147,5.2775,147311,0
IMC,D,20110810,000000,5.2841,5.5994,5.1489,5.2712,82267,0
IMC,D,20110811,000000,5.1167,5.1167,4.8271,5.0716,40533,0
IMC,D,20110812,000000,5.2775,5.342,5.181,5.342,6768,0
IMC,D,20110816,000000,5.8505,5.8505,5.5028,5.7924,3556,0
IMC,D,20110817,000000,5.7924,5.7924,5.7861,5.7861,2069,0
IMC,D,20110818,000000,5.7861,5.7924,5.3097,5.7216,15655,0
IMC,D,20110819,000000,5.2262,5.7024,5.181,5.6959,6262,0
IMC,D,20110822,000000,5.7539,5.9213,5.7539,5.9213,4572,0
IMC,D,20110823,000000,5.7924,5.9148,5.7924,5.9148,160,0
IMC,D,20110824,000000,5.7924,6.243,5.7924,6.1143,38222,0
IMC,D,20110825,000000,6.3395,6.3395,5.7924,6.1143,3142,0
IMC,D,20110826,000000,5.9855,6.0499,5.9855,6.0499,2176,0
IMC,D,20110829,000000,6.3591,6.4235,6.2817,6.2817,11658,0
IMC,D,20110830,000000,6.3715,6.3715,6.2173,6.2173,489,0
IMC,D,20110831,000000,6.3715,6.436,6.3715,6.436,7924,0
IMC,D,20110901,000000,6.2173,6.4235,6.2173,6.4235,913,0
IMC,D,20110905,000000,6.0499,6.2626,6.0499,6.2626,7777,0
IMC,D,20110906,000000,5.8247,6.1143,5.8247,6.0627,9788,0
IMC,D,20110907,000000,6.1722,6.1786,6.0627,6.0627,149,0
IMC,D,20110908,000000,5.7924,5.7924,5.5028,5.5865,29808,0
IMC,D,20110909,000000,5.6573,5.6573,5.4064,5.5351,3921,0
IMC,D,20110912,000000,5.342,5.5351,5.1489,5.3355,13323,0
IMC,D,20110913,000000,5.3034,5.3097,4.9493,5.2775,14474,0
IMC,D,20110914,000000,5.2454,5.2775,5.0716,5.2647,9658,0
IMC,D,20110915,000000,5.2775,5.7861,5.0202,5.5028,141054,0
IMC,D,20110916,000000,5.5351,5.5351,5.1489,5.1489,13962,0
IMC,D,20110919,000000,5.4064,5.4064,4.9558,5.1103,12654,0
IMC,D,20110920,000000,5.1489,5.1489,4.9558,5.1424,30824,0
IMC,D,20110921,000000,5.1103,5.1746,5.0074,5.1746,144327,0
IMC,D,20110922,000000,5.0652,5.0845,4.9686,5.0652,289686,0
IMC,D,20110923,000000,5.0202,5.0652,4.9751,5.0652,10200,0
IMC,D,20110926,000000,4.9686,5.0588,4.9686,5.0202,62612,0
IMC,D,20110927,000000,5.0845,5.2775,4.9945,5.0266,21304,0
IMC,D,20110928,000000,5.2133,5.2775,5.181,5.2454,73267,0
IMC,D,20110929,000000,5.3034,5.6959,5.3034,5.5351,44799,0
IMC,D,20110930,000000,5.4064,5.8891,5.4064,5.8891,125294,0
