<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRC,D,20080214,000000,7.8301,7.8301,3.3496,3.4626,307819,0
KRC,D,20080215,000000,3.3929,5.1331,3.2799,4.5675,267743,0
KRC,D,20080218,000000,4.5675,6.5686,4.5675,6.0465,313916,0
KRC,D,20080219,000000,6.1336,6.7078,5.307,5.5246,145111,0
KRC,D,20080220,000000,5.6551,6.0901,4.872,5.2113,64062,0
KRC,D,20080221,000000,5.22,5.394,4.6719,4.8111,47913,0
KRC,D,20080222,000000,4.6545,4.7763,4.1064,4.5936,43216,0
KRC,D,20080225,000000,4.524,5.1331,4.1499,4.3587,97515,0
KRC,D,20080226,000000,4.4371,4.4371,3.741,3.828,146762,0
KRC,D,20080227,000000,3.8977,4.2891,3.8455,4.1412,82973,0
KRC,D,20080228,000000,4.1761,4.6807,3.915,4.0456,60425,0
KRC,D,20080229,000000,4.0977,4.4371,3.8455,4.1239,40670,0
KRC,D,20080303,000000,3.8715,3.9847,3.654,3.9847,15381,0
KRC,D,20080304,000000,3.7932,4.698,3.7932,4.35,63516,0
KRC,D,20080305,000000,4.5588,4.5936,3.9847,4.1934,64664,0
KRC,D,20080306,000000,4.1064,4.2108,4.0456,4.1412,16382,0
KRC,D,20080307,000000,4.1587,4.1587,4.0194,4.1326,3602,0
KRC,D,20080310,000000,4.0542,4.0542,3.7846,3.915,17108,0
KRC,D,20080311,000000,3.8977,3.8977,3.6713,3.8019,12935,0
KRC,D,20080312,000000,3.8715,3.8715,3.6193,3.6975,19302,0
KRC,D,20080313,000000,3.6193,4.524,3.5844,4.0542,112541,0
KRC,D,20080314,000000,4.1326,4.35,3.8715,4.0977,27903,0
KRC,D,20080317,000000,3.828,3.828,3.2799,3.4626,103705,0
KRC,D,20080318,000000,3.4017,3.6104,3.2887,3.6104,16314,0
KRC,D,20080319,000000,3.6975,3.6975,3.5235,3.5235,163,0
KRC,D,20080320,000000,3.6104,3.6104,3.3496,3.4191,3415,0
KRC,D,20080325,000000,3.5671,3.5671,3.4104,3.5148,8992,0
KRC,D,20080326,000000,3.4365,3.5496,3.3147,3.3496,19662,0
KRC,D,20080327,000000,3.3756,3.3756,3.3147,3.3496,2974,0
KRC,D,20080328,000000,3.654,3.654,3.3321,3.3496,6666,0
KRC,D,20080331,000000,3.306,3.3756,3.2277,3.3756,5093,0
KRC,D,20080401,000000,3.2712,3.3756,3.2712,3.2799,1247,0
KRC,D,20080402,000000,3.2887,3.306,3.1755,3.306,4507,0
KRC,D,20080403,000000,3.132,3.2712,3.0015,3.1929,8166,0
KRC,D,20080404,000000,3.1842,3.1842,2.958,3.0885,13192,0
KRC,D,20080407,000000,3.0885,3.4191,3.0885,3.3321,10039,0
KRC,D,20080408,000000,3.306,3.306,3.1668,3.219,6401,0
KRC,D,20080409,000000,3.0885,3.1234,2.9753,2.9753,11873,0
KRC,D,20080410,000000,3.0537,3.2973,2.9753,3.2973,16284,0
KRC,D,20080411,000000,3.3147,3.4365,3.219,3.306,13522,0
KRC,D,20080414,000000,3.1842,3.219,3.1407,3.1407,2831,0
KRC,D,20080415,000000,3.1407,3.2626,3.1407,3.1407,8258,0
KRC,D,20080416,000000,3.219,3.219,3.0885,3.2104,1973,0
KRC,D,20080417,000000,3.2364,3.2364,3.0885,3.0885,346,0
KRC,D,20080418,000000,3.0885,3.2017,3.0625,3.1929,3798,0
KRC,D,20080421,000000,3.0103,3.2104,3.0103,3.2104,1828,0
KRC,D,20080422,000000,3.2017,3.2017,2.8275,3.045,5455,0
KRC,D,20080423,000000,2.8711,3.0189,2.6361,3.0015,4898,0
KRC,D,20080424,000000,2.7405,2.9928,2.7405,2.958,2559,0
