<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,D,19941216,000000,4.7282,4.7282,4.7282,4.7282,87424,0
NVT,D,19941219,000000,5.0816,5.0816,5.0816,5.0816,240700,0
NVT,D,19941220,000000,4.8165,4.8165,4.8165,4.8165,79796,0
NVT,D,19941221,000000,4.7282,4.7282,4.7282,4.7282,48984,0
NVT,D,19941222,000000,4.8607,4.8607,4.8607,4.8607,42307,0
NVT,D,19941223,000000,4.9491,4.9491,4.9491,4.9491,50330,0
NVT,D,19941227,000000,4.8607,4.8607,4.8607,4.8607,44889,0
NVT,D,19941228,000000,4.7282,4.7282,4.7282,4.7282,46360,0
NVT,D,19941229,000000,4.9491,4.9491,4.9491,4.9491,48698,0
NVT,D,19950102,000000,5.3027,5.3027,5.3027,5.3027,66291,0
NVT,D,19950103,000000,5.8329,5.8329,5.8329,5.8329,160382,0
NVT,D,19950104,000000,5.7002,5.7002,5.7002,5.7002,109380,0
NVT,D,19950105,000000,5.7446,5.7446,5.7446,5.7446,96263,0
NVT,D,19950106,000000,5.3469,5.3469,5.3469,5.3469,63778,0
NVT,D,19950109,000000,5.4795,5.4795,5.4795,5.4795,50374,0
NVT,D,19950110,000000,5.4795,5.4795,5.4795,5.4795,39965,0
NVT,D,19950111,000000,5.3027,5.3027,5.3027,5.3027,16027,0
NVT,D,19950112,000000,5.4351,5.4351,5.4351,5.4351,52710,0
NVT,D,19950113,000000,5.5677,5.5677,5.5677,5.5677,41487,0
NVT,D,19950116,000000,5.5236,5.5236,5.5236,5.5236,21456,0
NVT,D,19950117,000000,5.3469,5.3469,5.3469,5.3469,28899,0
NVT,D,19950118,000000,5.17,5.17,5.17,5.17,21859,0
NVT,D,19950119,000000,5.17,5.17,5.17,5.17,45746,0
NVT,D,19950120,000000,5.0816,5.0816,5.0816,5.0816,28534,0
NVT,D,19950123,000000,4.9491,4.9491,4.9491,4.9491,36269,0
NVT,D,19950124,000000,4.7723,4.7723,4.7723,4.7723,38137,0
NVT,D,19950125,000000,4.684,4.684,4.684,4.684,62339,0
NVT,D,19950126,000000,4.5073,4.5073,4.5073,4.5073,34613,0
NVT,D,19950127,000000,4.5073,4.5073,4.5073,4.5073,40934,0
NVT,D,19950130,000000,4.5073,4.5073,4.5073,4.5073,48476,0
NVT,D,19950131,000000,4.2864,4.2864,4.2864,4.2864,34529,0
NVT,D,19950201,000000,4.4188,4.4188,4.4188,4.4188,61441,0
NVT,D,19950202,000000,4.0654,4.0654,4.0654,4.0654,91753,0
NVT,D,19950203,000000,3.977,3.977,3.977,3.977,44381,0
NVT,D,19950206,000000,4.3747,4.3747,4.3747,4.3747,33488,0
NVT,D,19950207,000000,4.7723,4.7723,4.7723,4.7723,108330,0
NVT,D,19950208,000000,4.7723,4.7723,4.7723,4.7723,110845,0
NVT,D,19950209,000000,4.9491,4.9491,4.9491,4.9491,77086,0
NVT,D,19950210,000000,4.7282,4.7282,4.7282,4.7282,65035,0
NVT,D,19950213,000000,4.5514,4.5514,4.5514,4.5514,58993,0
NVT,D,19950214,000000,4.7723,4.7723,4.7723,4.7723,40023,0
NVT,D,19950215,000000,4.7282,4.7282,4.7282,4.7282,41980,0
NVT,D,19950216,000000,4.8607,4.8607,4.8607,4.8607,73240,0
NVT,D,19950217,000000,4.7723,4.7723,4.7723,4.7723,71558,0
NVT,D,19950220,000000,4.5514,4.5514,4.5514,4.5514,30757,0
NVT,D,19950221,000000,4.1095,4.1095,4.1095,4.1095,115465,0
NVT,D,19950222,000000,4.198,4.198,4.198,4.198,47521,0
NVT,D,19950223,000000,4.3747,4.3747,4.3747,4.3747,53944,0
NVT,D,19950224,000000,4.7723,4.7723,4.7723,4.7723,97751,0
NVT,D,19950227,000000,4.4188,4.4188,4.4188,4.4188,66644,0
NVT,D,19950228,000000,4.3304,4.3304,4.3304,4.3304,21824,0
