<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND,D,20210719,000000,30,31,26.605,28.08,265014,0
OND,D,20210720,000000,28.5,29.5,27,27.52,52756,0
OND,D,20210721,000000,28.08,28.08,27,27,30318,0
OND,D,20210722,000000,27.02,27.39,26.61,26.8,11581,0
OND,D,20210723,000000,26.8,27.46,26.75,26.9,13891,0
OND,D,20210726,000000,27.9,27.9,26.99,27.3,13598,0
OND,D,20210727,000000,27.595,27.595,26.91,26.91,1873,0
OND,D,20210728,000000,26.91,26.975,26.2,26.5,24481,0
OND,D,20210729,000000,26.9,27.5,26.52,26.87,55609,0
OND,D,20210730,000000,27,28.385,26.35,28.08,29235,0
OND,D,20210802,000000,28.395,29,27.75,27.75,15610,0
OND,D,20210803,000000,28.2,28.45,27.005,27.69,4798,0
OND,D,20210804,000000,28,28,26.845,27.6,10238,0
OND,D,20210805,000000,27.595,27.595,26.995,27.455,505,0
OND,D,20210806,000000,27.6,27.6,26.8,27.095,3730,0
OND,D,20210809,000000,27.49,27.49,27,27.48,26411,0
OND,D,20210810,000000,27.2,27.62,26.7,26.9,13088,0
OND,D,20210811,000000,27.78,27.78,26.8,27.37,3230,0
OND,D,20210812,000000,27.03,27.445,26.75,26.81,9101,0
OND,D,20210813,000000,27,27,26.75,27,825,0
OND,D,20210816,000000,27,27,26.4,26.79,119317,0
OND,D,20210817,000000,26.99,26.99,26.41,26.7,1178,0
OND,D,20210818,000000,26.51,26.79,26.4,26.79,4546,0
OND,D,20210819,000000,26.99,26.99,26.5,26.5,254,0
OND,D,20210820,000000,26.6,27.15,26.5,27.15,9234,0
OND,D,20210823,000000,27.4,27.4,27.005,27.36,1775,0
OND,D,20210824,000000,27.4,27.49,26.525,27.49,745,0
OND,D,20210825,000000,27.7,27.7,26.625,26.7,1912,0
OND,D,20210826,000000,26.7,26.7,26.425,26.51,12155,0
OND,D,20210827,000000,26.45,27.36,26.45,26.62,6214,0
OND,D,20210830,000000,26.9,27.005,26.6,26.95,2939,0
OND,D,20210831,000000,27,27,26.42,26.5,12067,0
OND,D,20210901,000000,26.6,26.6,26.35,26.47,9573,0
OND,D,20210902,000000,26.89,26.9,26.08,26.31,78684,0
OND,D,20210903,000000,26.45,26.48,26.22,26.265,17082,0
OND,D,20210906,000000,26.4,26.4,25.8,25.99,27052,0
OND,D,20210907,000000,25.95,25.95,24.9,24.94,39870,0
OND,D,20210908,000000,25,25.005,23.9,24,25950,0
OND,D,20210909,000000,23.995,25,23.9,24.795,5134,0
OND,D,20210910,000000,24.995,25,24.6,24.675,3867,0
OND,D,20210913,000000,25,26.09,24.7,25.7,14500,0
OND,D,20210914,000000,25.995,26.38,25.8,25.95,10344,0
OND,D,20210915,000000,26.29,26.29,25.82,26.18,4272,0
OND,D,20210916,000000,26,26.5,25.2,25.81,12688,0
OND,D,20210917,000000,26,26.4,25.2,26.195,5002,0
OND,D,20210920,000000,26.19,26.19,24.4,24.99,13979,0
OND,D,20210921,000000,24.98,25.495,24.47,24.5,6179,0
OND,D,20210922,000000,25.6,26.15,24.5,24.5,23346,0
OND,D,20210923,000000,24.88,25.5,24.64,25.145,2727,0
OND,D,20210924,000000,25.17,25.835,24.95,25,2284,0
OND,D,20210927,000000,25,25.575,24.94,25.4,4076,0
OND,D,20210928,000000,25.02,25.3,24.96,25.26,1051,0
OND,D,20210929,000000,25,25.035,24.6,24.67,9782,0
OND,D,20210930,000000,24.67,24.8,24,24.5,13398,0
OND,D,20211001,000000,24.29,24.85,24.1,24.835,1774,0
OND,D,20211004,000000,24.5,25.1,24.5,25,2470,0
OND,D,20211005,000000,25,25.1,24.515,25.07,2941,0
OND,D,20211006,000000,24.83,25,24,24.48,10400,0
OND,D,20211007,000000,24.5,24.87,24,24.6,11240,0
OND,D,20211008,000000,24.4,24.6,24,24.1,16076,0
OND,D,20211011,000000,24.3,24.49,23.91,24,9175,0
OND,D,20211012,000000,24.235,24.235,23.625,23.8,12068,0
OND,D,20211013,000000,23.8,24.4,23.49,23.5,290326,0
OND,D,20211014,000000,23.875,24.22,23.4,23.5,9826,0
OND,D,20211015,000000,23.5,24.5,23.4,24.4,45031,0
OND,D,20211018,000000,24.5,24.75,24.4,24.7,11653,0
OND,D,20211019,000000,24.67,24.67,23.495,23.8,30518,0
OND,D,20211020,000000,23.65,23.69,22.98,23.21,114909,0
OND,D,20211021,000000,23.22,23.4,22.9,23,20249,0
OND,D,20211022,000000,23,23,22.45,22.455,16766,0
OND,D,20211025,000000,22.715,22.715,21.81,21.81,19219,0
OND,D,20211026,000000,21.81,22.185,21.3,21.495,12339,0
OND,D,20211027,000000,21.495,21.495,20.55,21.24,20738,0
OND,D,20211028,000000,21.1,21.1,20,20.1,44782,0
OND,D,20211029,000000,20.2,21.48,20,20.015,43128,0
OND,D,20211102,000000,20.02,20.96,20.02,20.12,13574,0
