<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHO,D,20210709,000000,54.01,57.53,52.5,52.5,1157786,0
SHO,D,20210712,000000,52.51,55.4,52,55.32,143298,0
SHO,D,20210713,000000,55.4,60.06,55.4,60.06,218770,0
SHO,D,20210714,000000,62,64.2,60.42,60.6,154594,0
SHO,D,20210715,000000,60.8,62.8,60.61,61.8,44068,0
SHO,D,20210716,000000,62,62.15,61.44,61.7,37816,0
SHO,D,20210719,000000,61.89,61.89,59.14,60.52,62433,0
SHO,D,20210720,000000,60.51,65,60.11,65,97304,0
SHO,D,20210721,000000,65.3,66.5,62.6,65,18018,0
SHO,D,20210722,000000,65.9,65.9,62.99,62.99,8556,0
SHO,D,20210723,000000,63,64.6,62.12,64.6,67695,0
SHO,D,20210726,000000,65.5,65.5,63.51,64.25,3667,0
SHO,D,20210727,000000,64.25,65.39,62.8,64,6701,0
SHO,D,20210728,000000,64,64.01,62.04,62.88,120321,0
SHO,D,20210729,000000,62.6,63.5,62.5,63.5,32806,0
SHO,D,20210730,000000,63,63,61.81,62,21385,0
SHO,D,20210802,000000,62,62,61.1,62,26417,0
SHO,D,20210803,000000,62.1,62.5,59.1,62,149577,0
SHO,D,20210804,000000,62,63,61,63,1993,0
SHO,D,20210805,000000,61.51,63.5,61.5,62.98,95638,0
SHO,D,20210806,000000,62.99,62.99,61.51,62.2,63136,0
SHO,D,20210809,000000,61,61.97,60.3,61.45,51917,0
SHO,D,20210810,000000,61.45,61.55,61.45,61.55,4327,0
SHO,D,20210811,000000,61.5,61.98,61,61.98,2050,0
SHO,D,20210812,000000,61.98,61.98,61.01,61.8,1852,0
SHO,D,20210813,000000,61.81,63,61.8,63,8155,0
SHO,D,20210816,000000,63,63.4,58.6,61.07,59693,0
SHO,D,20210817,000000,62,68,62,66.5,131603,0
SHO,D,20210818,000000,67,67.79,66.97,67.25,34640,0
SHO,D,20210819,000000,67.69,67.9,67,67.5,29753,0
SHO,D,20210820,000000,67.55,69,67.55,68.98,10006,0
SHO,D,20210823,000000,69,74.99,68,74.98,15105,0
SHO,D,20210824,000000,74.01,79.5,70.65,73,72366,0
SHO,D,20210825,000000,73.61,75,73.01,73.5,21668,0
SHO,D,20210826,000000,74.99,74.99,70.8,70.8,3235,0
SHO,D,20210827,000000,73.8,73.8,67.57,69.25,8632,0
SHO,D,20210830,000000,70,70,68.5,68.5,3063,0
SHO,D,20210831,000000,68.51,70.5,68.5,70,9926,0
SHO,D,20210901,000000,69.5,70,69.01,69.11,2512,0
SHO,D,20210902,000000,69.11,69.59,68.5,69.2,19763,0
SHO,D,20210903,000000,69.4,69.4,67.49,67.99,1448,0
SHO,D,20210906,000000,67.99,68,63.36,67.79,25356,0
SHO,D,20210907,000000,67,67.79,66.8,67.69,5575,0
SHO,D,20210908,000000,67.69,67.79,65,65.5,56100,0
SHO,D,20210909,000000,65,66,64,66,8090,0
SHO,D,20210910,000000,64.76,66,64.76,65.6,5667,0
SHO,D,20210913,000000,67,67,63.51,64.2,61115,0
SHO,D,20210914,000000,65.9,65.9,64,65.9,7345,0
SHO,D,20210915,000000,65.99,67,65,66,2135,0
SHO,D,20210916,000000,66,66.5,65.96,66.03,6298,0
SHO,D,20210917,000000,66,69.7,66,69.4,4564,0
SHO,D,20210920,000000,69.49,69.78,67,68,7371,0
SHO,D,20210921,000000,67.97,71,67.97,71,1498,0
SHO,D,20210922,000000,70.99,71,70.01,70.8,27237,0
SHO,D,20210923,000000,70.78,70.78,70.01,70.02,596,0
SHO,D,20210924,000000,70.01,70.01,65.95,66.5,7279,0
SHO,D,20210927,000000,66.66,70,66.66,70,14121,0
SHO,D,20210928,000000,69.5,69.5,66.06,68.5,8321,0
SHO,D,20210929,000000,67.01,67.01,66.5,66.8,24020,0
SHO,D,20210930,000000,66.99,67,66.03,66.8,3248,0
SHO,D,20211001,000000,67,67,65,65.01,2996,0
SHO,D,20211004,000000,65.2,65.3,65,65.3,1085,0
SHO,D,20211005,000000,65.15,66.79,65,66,15274,0
SHO,D,20211006,000000,66,66.8,66,66.8,51058,0
SHO,D,20211007,000000,66.8,68.4,66,68.4,1680,0
SHO,D,20211008,000000,67.01,68.4,66.82,66.83,9998,0
SHO,D,20211011,000000,66.91,68.4,66.9,68.4,1194,0
SHO,D,20211012,000000,68,69.4,67.49,69.4,5119,0
SHO,D,20211013,000000,69.4,69.89,68.71,69.1,1175,0
SHO,D,20211014,000000,68.01,70.2,68.01,70.2,1709,0
SHO,D,20211015,000000,70,70.01,68.97,70,1250,0
SHO,D,20211018,000000,70,70.4,69,70.2,2654,0
SHO,D,20211019,000000,70.01,72,70.01,71,43938,0
SHO,D,20211020,000000,71,71.6,70.29,71.4,37477,0
SHO,D,20211021,000000,71,73.11,70.71,73.11,19938,0
SHO,D,20211022,000000,73,74.98,73,74.78,66483,0
SHO,D,20211025,000000,74.01,75.99,74,74.69,6266,0
SHO,D,20211026,000000,74.99,75,74,75,13609,0
SHO,D,20211027,000000,74.9,74.98,72.55,74.6,204720,0
SHO,D,20211028,000000,74.5,74.97,74.5,74.5,5803,0
SHO,D,20211029,000000,74.5,74.54,74,74.4,9764,0
SHO,D,20211102,000000,75,75.99,75,75.7,1557,0
