<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIM,D,19980216,000000,5.7704,5.7704,5.7704,5.7704,30535,0
TIM,D,19980217,000000,6.1839,6.1839,6.1839,6.1839,64952,0
TIM,D,19980218,000000,6.658,6.658,6.658,6.658,95935,0
TIM,D,19980219,000000,7.0108,7.0108,7.0108,7.0108,162147,0
TIM,D,19980220,000000,6.7737,6.7737,6.7737,6.7737,44887,0
TIM,D,19980223,000000,6.3601,6.3601,6.3601,6.3601,43569,0
TIM,D,19980224,000000,6.5973,6.5973,6.5973,6.5973,81075,0
TIM,D,19980225,000000,6.4211,6.4211,6.4211,6.4211,23407,0
TIM,D,19980226,000000,6.1839,6.1839,6.1839,6.1839,14502,0
TIM,D,19980227,000000,6.4211,6.4211,6.4211,6.4211,47424,0
TIM,D,19980302,000000,6.4211,6.4211,6.4211,6.4211,37418,0
TIM,D,19980303,000000,6.5365,6.5365,6.5365,6.5365,46022,0
TIM,D,19980304,000000,6.2994,6.2994,6.2994,6.2994,10263,0
TIM,D,19980305,000000,6.0682,6.0682,6.0682,6.0682,17335,0
TIM,D,19980306,000000,6.0682,6.0682,6.0682,6.0682,23853,0
TIM,D,19980309,000000,6.2994,6.2994,6.2994,6.2994,15521,0
TIM,D,19980310,000000,6.2994,6.2994,6.2994,6.2994,16829,0
TIM,D,19980311,000000,6.1839,6.1839,6.1839,6.1839,22368,0
TIM,D,19980312,000000,6.0075,6.0075,6.0075,6.0075,16565,0
TIM,D,19980313,000000,6.1839,6.1839,6.1839,6.1839,19916,0
TIM,D,19980316,000000,6.2994,6.2994,6.2994,6.2994,23629,0
TIM,D,19980317,000000,6.4211,6.4211,6.4211,6.4211,29512,0
TIM,D,19980318,000000,6.2446,6.2446,6.2446,6.2446,15713,0
TIM,D,19980319,000000,6.2446,6.2446,6.2446,6.2446,28908,0
TIM,D,19980320,000000,6.3601,6.3601,6.3601,6.3601,16295,0
TIM,D,19980323,000000,6.4757,6.4757,6.4757,6.4757,29461,0
TIM,D,19980324,000000,6.4757,6.4757,6.4757,6.4757,58953,0
TIM,D,19980325,000000,6.658,6.658,6.658,6.658,61076,0
TIM,D,19980326,000000,6.4757,6.4757,6.4757,6.4757,27936,0
TIM,D,19980327,000000,5.8311,5.8311,5.8311,5.8311,17457,0
TIM,D,19980330,000000,6.2446,6.2446,6.2446,6.2446,68258,0
TIM,D,19980331,000000,6.1839,6.1839,6.1839,6.1839,12069,0
TIM,D,19980401,000000,6.1839,6.1839,6.1839,6.1839,3971,0
TIM,D,19980402,000000,5.9466,5.9466,5.9466,5.9466,27335,0
TIM,D,19980406,000000,6.1839,6.1839,6.1839,6.1839,5032,0
TIM,D,19980407,000000,6.2446,6.2446,6.2446,6.2446,10777,0
TIM,D,19980408,000000,6.1229,6.1229,6.1229,6.1229,26464,0
TIM,D,19980409,000000,6.1229,6.1229,6.1229,6.1229,67036,0
TIM,D,19980414,000000,6.1839,6.1839,6.1839,6.1839,4048,0
TIM,D,19980415,000000,6.2994,6.2994,6.2994,6.2994,14421,0
TIM,D,19980416,000000,6.1839,6.1839,6.1839,6.1839,4070,0
TIM,D,19980417,000000,6.0682,6.0682,6.0682,6.0682,38361,0
TIM,D,19980420,000000,6.1229,6.1229,6.1229,6.1229,14127,0
TIM,D,19980421,000000,6.1229,6.1229,6.1229,6.1229,10459,0
TIM,D,19980422,000000,6.0682,6.0682,6.0682,6.0682,33890,0
TIM,D,19980423,000000,6.0075,6.0075,6.0075,6.0075,15346,0
TIM,D,19980424,000000,5.9466,5.9466,5.9466,5.9466,21832,0
TIM,D,19980427,000000,6.0682,6.0682,6.0682,6.0682,9018,0
TIM,D,19980428,000000,5.8311,5.8311,5.8311,5.8311,17720,0
TIM,D,19980429,000000,5.8311,5.8311,5.8311,5.8311,19714,0
TIM,D,19980430,000000,5.5939,5.5939,5.5939,5.5939,18634,0
TIM,D,19980504,000000,5.5939,5.5939,5.5939,5.5939,29877,0
TIM,D,19980505,000000,5.5939,5.5939,5.5939,5.5939,24922,0
TIM,D,19980506,000000,5.4786,5.4786,5.4786,5.4786,7129,0
TIM,D,19980507,000000,5.5332,5.5332,5.5332,5.5332,11634,0
TIM,D,19980508,000000,5.4786,5.4786,5.4786,5.4786,17816,0
TIM,D,19980511,000000,5.4786,5.4786,5.4786,5.4786,12336,0
TIM,D,19980512,000000,5.2414,5.2414,5.2414,5.2414,12441,0
TIM,D,19980513,000000,5.3022,5.3022,5.3022,5.3022,26315,0
TIM,D,19980514,000000,5.3568,5.3568,5.3568,5.3568,11724,0
TIM,D,19980515,000000,5.2414,5.2414,5.2414,5.2414,13754,0
TIM,D,19980518,000000,5.2414,5.2414,5.2414,5.2414,16801,0
TIM,D,19980519,000000,5.3022,5.3022,5.3022,5.3022,35273,0
TIM,D,19980520,000000,5.3022,5.3022,5.3022,5.3022,11964,0
TIM,D,19980521,000000,5.3022,5.3022,5.3022,5.3022,54718,0
TIM,D,19980522,000000,5.3022,5.3022,5.3022,5.3022,6057,0
TIM,D,19980525,000000,4.8583,4.8583,4.8583,4.8583,8762,0
TIM,D,19980526,000000,4.8887,4.8887,4.8887,4.8887,20079,0
