<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZWC,D,19910924,000000,3.2677,3.2677,3.2677,3.2677,99402,0
ZWC,D,19911001,000000,3.4177,3.4177,3.4177,3.4177,125371,0
ZWC,D,19911008,000000,3.7516,3.7516,3.7516,3.7516,105188,0
ZWC,D,19911015,000000,4.1229,4.1229,4.1229,4.1229,123148,0
ZWC,D,19911022,000000,4.5318,4.5318,4.5318,4.5318,68489,0
ZWC,D,19911029,000000,4.9787,4.9787,4.9787,4.9787,60622,0
ZWC,D,19911105,000000,5.4627,5.4627,5.4627,5.4627,118786,0
ZWC,D,19911112,000000,5.5712,5.5712,5.5712,5.5712,86715,0
ZWC,D,19911119,000000,5.016,5.016,5.016,5.016,0,0
ZWC,D,19911126,000000,4.5318,4.5318,4.5318,4.5318,25775,0
ZWC,D,19911203,000000,4.9787,4.9787,4.9787,4.9787,0,0
ZWC,D,19911210,000000,5.4627,5.4627,5.4627,5.4627,159336,0
ZWC,D,19911217,000000,4.9409,4.9409,4.9409,4.9409,87983,0
ZWC,D,19911231,000000,5.4251,5.4251,5.4251,5.4251,35331,0
ZWC,D,19920107,000000,5.5712,5.5712,5.5712,5.5712,47024,0
ZWC,D,19920109,000000,5.5712,5.5712,5.5712,5.5712,20900,0
ZWC,D,19920114,000000,5.2372,5.2372,5.2372,5.2372,48736,0
ZWC,D,19920116,000000,5.1995,5.1995,5.1995,5.1995,20633,0
ZWC,D,19920121,000000,5.4251,5.4251,5.4251,5.4251,13568,0
ZWC,D,19920123,000000,5.5002,5.5002,5.5002,5.5002,14268,0
ZWC,D,19920128,000000,5.4251,5.4251,5.4251,5.4251,15278,0
ZWC,D,19920130,000000,5.3875,5.3875,5.3875,5.3875,12234,0
ZWC,D,19920204,000000,5.3498,5.3498,5.3498,5.3498,18641,0
ZWC,D,19920206,000000,5.4251,5.4251,5.4251,5.4251,15031,0
ZWC,D,19920211,000000,5.3124,5.3124,5.3124,5.3124,17044,0
ZWC,D,19920213,000000,5.5002,5.5002,5.5002,5.5002,22244,0
ZWC,D,19920218,000000,5.5712,5.5712,5.5712,5.5712,36686,0
ZWC,D,19920220,000000,5.5712,5.5712,5.5712,5.5712,21243,0
ZWC,D,19920225,000000,5.6088,5.6088,5.6088,5.6088,46601,0
ZWC,D,19920227,000000,5.8341,5.8341,5.8341,5.8341,52655,0
ZWC,D,19920303,000000,6.3887,6.3887,6.3887,6.3887,29225,0
ZWC,D,19920305,000000,6.6894,6.6894,6.6894,6.6894,38339,0
ZWC,D,19920310,000000,6.9113,6.9113,6.9113,6.9113,39351,0
ZWC,D,19920312,000000,7.0231,7.0231,7.0231,7.0231,20004,0
ZWC,D,19920317,000000,6.3887,6.3887,6.3887,6.3887,28022,0
ZWC,D,19920319,000000,6.6894,6.6894,6.6894,6.6894,25966,0
ZWC,D,19920324,000000,6.6894,6.6894,6.6894,6.6894,21664,0
ZWC,D,19920326,000000,6.723,6.723,6.723,6.723,22924,0
ZWC,D,19920331,000000,6.6144,6.6144,6.6144,6.6144,20788,0
ZWC,D,19920402,000000,6.3181,6.3181,6.3181,6.3181,20653,0
ZWC,D,19920407,000000,6.3181,6.3181,6.3181,6.3181,20487,0
ZWC,D,19920409,000000,6.1303,6.1303,6.1303,6.1303,17026,0
ZWC,D,19920414,000000,6.1303,6.1303,6.1303,6.1303,20879,0
ZWC,D,19920416,000000,6.2432,6.2432,6.2432,6.2432,18607,0
ZWC,D,19920423,000000,6.0554,6.0554,6.0554,6.0554,30343,0
ZWC,D,19920428,000000,5.4627,5.4627,5.4627,5.4627,16117,0
ZWC,D,19920430,000000,5.1995,5.1995,5.1995,5.1995,25298,0
ZWC,D,19920505,000000,5.3875,5.3875,5.3875,5.3875,18012,0
ZWC,D,19920507,000000,5.5712,5.5712,5.5712,5.5712,11391,0
ZWC,D,19920512,000000,5.5712,5.5712,5.5712,5.5712,10883,0
ZWC,D,19920514,000000,5.3498,5.3498,5.3498,5.3498,9474,0
ZWC,D,19920519,000000,5.275,5.275,5.275,5.275,9723,0
ZWC,D,19920521,000000,4.7575,4.7575,4.7575,4.7575,13099,0
ZWC,D,19920526,000000,5.1995,5.1995,5.1995,5.1995,27953,0
ZWC,D,19920528,000000,5.3875,5.3875,5.3875,5.3875,14875,0
ZWC,D,19920602,000000,5.3498,5.3498,5.3498,5.3498,19530,0
ZWC,D,19920604,000000,5.1662,5.1662,5.1662,5.1662,18546,0
ZWC,D,19920609,000000,4.795,4.795,4.795,4.795,11225,0
ZWC,D,19920611,000000,4.795,4.795,4.795,4.795,12074,0
ZWC,D,19920616,000000,4.3484,4.3484,4.3484,4.3484,15194,0
ZWC,D,19920623,000000,3.9393,3.9393,3.9393,3.9393,22821,0
ZWC,D,19920625,000000,4.1229,4.1229,4.1229,4.1229,8003,0
ZWC,D,19920630,000000,4.5318,4.5318,4.5318,4.5318,0,0
ZWC,D,19920702,000000,4.9787,4.9787,4.9787,4.9787,0,0
ZWC,D,19920707,000000,5.4627,5.4627,5.4627,5.4627,30667,0
ZWC,D,19920709,000000,5.5379,5.5379,5.5379,5.5379,33925,0
ZWC,D,19920714,000000,5.1288,5.1288,5.1288,5.1288,22420,0
ZWC,D,19920716,000000,5.3498,5.3498,5.3498,5.3498,20466,0
ZWC,D,19920721,000000,5.3124,5.3124,5.3124,5.3124,15734,0
ZWC,D,19920723,000000,5.3124,5.3124,5.3124,5.3124,22648,0
ZWC,D,19920728,000000,5.4627,5.4627,5.4627,5.4627,34869,0
ZWC,D,19920730,000000,5.5712,5.5712,5.5712,5.5712,34021,0
ZWC,D,19920804,000000,5.3124,5.3124,5.3124,5.3124,19761,0
ZWC,D,19920806,000000,5.2372,5.2372,5.2372,5.2372,7427,0
